step,wall_time_s,avg_recent_score,epsilon,loss
20224,6.1,449.2307692307692,0.9348,0.16591216623783112
40192,12.5,933.3529411764706,0.8695,0.1901526004076004
60160,34.6,1080.1649484536083,0.8043,0.21980443596839905
80128,41.1,1316.9133858267717,0.7391,0.13593509793281555
100096,47.5,1625.6,0.6739,0.25035545229911804
120064,74.7,2093.277486910995,0.6086,0.24708311259746552
140032,81.1,2384.9162995594716,0.5434,0.08553002774715424
160000,105.3,2521.4307692307693,0.4782,0.1650560200214386
180224,111.9,2773.979381443299,0.4121,0.32024601101875305
200192,118.3,2895.1926605504586,0.3469,0.23335781693458557
220160,148.3,3197.358695652174,0.2816,0.20157214999198914
240128,154.7,3661.03317535545,0.2164,0.31762105226516724
260096,177.1,4078.989898989899,0.1512,0.09163764864206314
280064,183.3,4438.2266666666665,0.086,0.08402802050113678
300032,189.5,4578.215743440233,0.0207,0.08672288060188293
320000,226.8,4558.157826649418,0.02,0.12094210088253021
340224,233.0,4386.750877192982,0.02,0.29073163866996765
360192,252.0,4210.3060796645705,0.02,0.10903864353895187
380160,258.2,4071.3881453154877,0.02,0.21250957250595093
400128,264.3,3902.397188049209,0.02,0.04926265776157379
420096,303.0,3778.264705882353,0.02,0.11195971071720123
20224,5.6,454.46153846153845,0.9348,0.16804654896259308
40192,12.0,943.8904109589041,0.8695,0.20146062970161438
60160,34.3,1061.04,0.8043,0.19299671053886414
80128,40.7,1269.015873015873,0.7391,0.1371544599533081
100096,47.0,1701.5272727272727,0.6739,0.0706133022904396
120064,77.5,2031.5282051282052,0.6086,0.1117018312215805
140032,84.0,2415.9656652360513,0.5434,0.19077223539352417
160000,104.9,2609.3722627737225,0.4782,0.17828769981861115
180224,111.1,2763.1475409836066,0.4121,0.0764574483036995
200192,117.4,2915.6531791907514,0.3469,0.42764148116111755
220160,143.1,3197.047120418848,0.2816,0.0965728759765625
240128,149.3,3541.873303167421,0.2164,0.049071986228227615
260096,168.8,3889.2100192678226,0.1512,0.15926238894462585
280064,174.9,4365.9047619047615,0.086,0.2046598643064499
300032,181.0,4538.376978417266,0.0207,0.0885801762342453
320000,201.4,4485.764854614412,0.02,0.12869036197662354
340224,207.6,4300.298165137615,0.02,0.38622623682022095
360192,228.2,4118.919708029197,0.02,0.051699474453926086
380160,234.3,3957.4162679425835,0.02,0.16832606494426727
400128,240.4,3814.6348364279397,0.02,0.11592888832092285
420096,264.5,3725.995012468828,0.02,0.10326193273067474
440064,270.6,3688.8204334365323,0.02,0.04207419976592064
460032,292.4,3635.523043160205,0.02,0.04390948265790939
480000,298.4,3585.104022191401,0.02,0.12544138729572296
500224,304.6,3515.4170461938843,0.02,0.11700532585382462
520192,326.2,3493.278810408922,0.02,0.050301916897296906
540160,332.2,3450.004667444574,0.02,0.3057091236114502
560128,349.6,3386.3181312569523,0.02,0.1807868778705597
580096,355.7,3318.612244897959,0.02,0.22812190651893616
600064,361.7,3251.922,0.02,0.4166111946105957
620032,379.9,3294.874,0.02,0.23125511407852173
640000,385.9,3251.016,0.02,0.1850152164697647
660224,401.6,3140.218,0.02,0.16897638142108917
680192,407.7,2990.484,0.02,0.2279060184955597
700160,413.7,2799.41,0.02,0.23667733371257782
720128,434.7,2524.144,0.02,0.25999915599823
740096,440.9,2336.896,0.02,0.41496342420578003
760064,459.3,2232.454,0.02,0.3620193600654602
780032,465.4,2223.25,0.02,0.21817520260810852
